name,email,phone_number,employee_id,position,department,salary,hire_date,employment_type,address,manager,performance_rating,skills,office_location,has_parking_pass
Bryan George,evanrodriguez@example.org,(640)609-5804x092,2c189d03-d8d3-495d-83cd-93432871107e,Financial controller,Engineering,106391.54,2018-04-05,Contract,"60445 James Squares Apt. 254
East Cherylside, GA 11868",Christine Lane,3.6,"['wonder', 'serve', 'special', 'break', 'wife']",Calderonbury,No
Miranda Jones,shannonfowler@example.net,+1-738-506-5294,92e70824-478b-4943-8bfb-aa6c524f8657,"Scientist, product/process development",Engineering,70963.62,2019-04-11,Part-time,"0883 Powers Rapid
South Hannah, KS 44421",Steven Lane,1.7,"['blood', 'course', 'couple', 'risk', 'natural']",South Kimberlychester,Yes
Melissa Reed,perrymichelle@example.org,+1-821-559-4832x5630,426ba1e3-6140-4c80-9be5-17f2ba68582e,Financial adviser,Engineering,105453.76,2020-12-05,Contract,"2369 Miller Cove
Delacruzville, CO 11798",Mark Larson,4.0,"['amount', 'these', 'claim', 'strong', 'administration']",North Jonathon,No
Rachel Miller,malonedouglas@example.net,001-742-693-3392x97046,e317336d-a315-4da7-8d05-27b37e943118,Chief Technology Officer,Finance,76530.16,2016-01-06,Part-time,"PSC 0987, Box 8951
APO AE 53194",Amanda Smith,4.2,"['attention', 'city', 'suddenly', 'prove', 'perform']",New Michael,No
Carrie Ryan,guzmanjamie@example.com,001-982-576-1603x6242,43029345-66c1-4bde-91e8-4c8a1eb69ba3,Food technologist,Engineering,62064.73,2024-07-06,Contract,"352 Nicholas Tunnel Suite 023
Reginaldside, KY 94626",Andrew Miller,2.8,"['participant', 'television', 'report', 'newspaper', 'analysis']",West Mackenzie,Yes
Wanda Henson,smcmillan@example.com,318.852.3265,93fded69-68b0-43f4-b250-19b1d74f9404,Medical illustrator,Sales,118087.46,2016-06-12,Part-time,"593 Dalton Orchard Apt. 002
Carlamouth, LA 97780",Brian Ortiz,1.3,"['subject', 'director', 'work', 'kind', 'whose']",Lake Michaelfurt,No
Karen Hayes,cynthia47@example.com,(327)737-7500,6013ab84-b69b-43fa-99da-cd87c1347440,Cartographer,Sales,107262.75,2019-02-04,Part-time,"77034 Bean View Suite 529
Ericaport, VT 79447",Terri Lynch,3.3,"['catch', 'little', 'player', 'piece', 'now']",Josemouth,Yes
Morgan Rivera,lisa90@example.net,(850)409-8140x8920,7a0d707d-c7d7-4643-83e2-d557244e214a,Legal executive,Finance,91804.76,2022-11-22,Full-time,"555 Hill Stream Apt. 031
Port Shannonstad, SC 51046",Bonnie Hancock,2.7,"['under', 'less', 'lose', 'outside', 'especially']",Catherineberg,No
William Cooper,nnorman@example.org,+1-922-858-8516,f28f2774-1c6d-49e8-88c1-1e89f80c1f33,Administrator,Engineering,67624.19,2019-12-08,Full-time,"46747 Erik Creek Suite 214
Sarahborough, TN 68559",Andrea Castaneda,2.7,"['actually', 'American', 'hotel', 'find', 'else']",West Codyville,Yes
Craig Thompson,zwilson@example.com,919.793.2997x135,53379cdc-777c-482c-9a7c-c2e56f345a07,Warehouse manager,Engineering,45799.6,2017-09-11,Contract,"11346 Maddox Rue Apt. 676
Smithfort, WY 47442",Jason Hamilton,1.2,"['stand', 'follow', 'way', 'run', 'treat']",New Rebeccaview,No
Paul Grant,lynnleslie@example.com,001-372-632-0822x462,fc998a0a-e2ef-42ad-83a4-41f97f6e6c8e,"Civil engineer, contracting",Engineering,96760.17,2021-11-03,Part-time,"Unit 2415 Box 7212
DPO AE 12041",Jeffrey Morgan,1.6,"['walk', 'difference', 'end', 'special', 'computer']",Daughertychester,No
Gregory Adams,jenniferriggs@example.com,+1-711-513-4192x3785,a74f410e-dd63-4cba-9a42-e9f18bafc086,Adult guidance worker,Marketing,106798.78,2024-01-21,Contract,"1105 Welch Causeway
Callahanland, WA 54793",James Baker,3.5,"['contain', 'institution', 'finally', 'something', 'glass']",Port Victoriahaven,Yes
Lisa Jones,jmayer@example.net,+1-629-807-2064x23723,bd6c0592-ac53-42eb-a106-a32f45385365,Bonds trader,Sales,69062.44,2019-12-26,Part-time,"691 Howard Harbor Apt. 348
Leahmouth, CO 66053",Jennifer Alexander,3.2,"['rather', 'coach', 'authority', 'score', 'order']",Thompsonton,Yes
Joseph Campbell,adrian66@example.org,222-615-1388x3049,8a06be1e-e238-43f6-a2e0-0c293c36bf61,"Scientist, water quality",Sales,47114.71,2024-03-18,Part-time,"23113 Larry Alley
South Miguel, NM 97436",Jacob Francis,4.4,"['conference', 'fast', 'organization', 'but', 'everyone']",Brownland,No
Steven Good,kball@example.com,+1-938-417-3014x6910,50fd59b9-9ba7-4ef3-ad94-48b544f174c0,Pathologist,Finance,107503.74,2021-11-23,Part-time,"33024 Simmons Wall Apt. 725
Mcbridetown, TN 80143",Kevin Wong,2.8,"['view', 'too', 'maybe', 'popular', 'future']",Bellton,Yes
Kayla Jones,lrandall@example.com,898-961-1606x8012,47ca1ef7-8f16-4369-87c9-6c24e5dce9f9,"Accountant, chartered management",Marketing,93280.8,2016-07-10,Part-time,"20509 Audrey Throughway Suite 845
Lambland, AS 08468",Katherine Robinson,4.3,"['quickly', 'bad', 'him', 'page', 'near']",Lake Ryan,No
Ryan Young,mckinneyjillian@example.com,829.301.2603x9330,3a8f9b3b-c7e2-4b44-82c2-e672970e39eb,"Psychologist, counselling",Finance,113819.01,2023-07-25,Part-time,"312 Richard Spur Suite 176
Virginiahaven, FL 09484",Ashley Thompson,1.8,"['catch', 'must', 'arm', 'beautiful', 'budget']",South Antonio,No
Robert Hernandez,bbrock@example.com,321-380-7198x28670,db3729e5-a603-40b2-a3bb-e435012308e8,"Engineer, communications",Finance,99069.04,2018-01-16,Part-time,"03550 Flores Junctions
Rossshire, GU 02816",Kathy Savage PhD,1.7,"['sure', 'according', 'involve', 'account', 'pass']",South Ronnie,Yes
Edward Larson,cvaughn@example.com,+1-951-966-0534x84449,c28388ee-2374-4041-b2fd-8125daf0f745,Advice worker,Engineering,65569.84,2018-03-14,Contract,"76891 Warren Cliff
West Kellieton, IA 81381",Kathy Ryan,3.6,"['since', 'race', 'hear', 'eight', 'serve']",Yatesfurt,No
Jackson Kim,robinsonkimberly@example.com,449-458-5068,10076587-651f-42ae-8a00-9eb9b2cb836f,"Producer, radio",Sales,94905.2,2023-04-11,Full-time,"4747 Johnson Turnpike Apt. 537
Maloneland, IA 14162",Richard Welch,2.0,"['prevent', 'bill', 'term', 'attorney', 'claim']",New Jacob,No
Brenda Smith,xdixon@example.com,+1-477-646-3146x13741,d9f546a9-9010-415c-90dc-672a828f8692,Operations geologist,Marketing,65792.33,2016-10-06,Part-time,"205 Kiara Trace
Nguyenburgh, NM 80811",Olivia Hamilton,4.7,"['conference', 'black', 'hundred', 'health', 'growth']",South Christophermouth,Yes
Mrs. Sherry Vasquez,kjohnson@example.com,965-351-9039,668079f0-7414-4665-9e05-4acdddc16ca7,Adult nurse,Sales,106683.12,2018-01-21,Part-time,"3242 Daniel Orchard Suite 812
East Erintown, KS 48111",Heather Williams,2.4,"['property', 'house', 'thought', 'machine', 'very']",Strongbury,No
Rodney Dawson,chris96@example.com,788-345-5287,8ee5cec7-8cb1-433b-b52b-932003c791ad,Retail merchandiser,Finance,81266.38,2016-11-08,Full-time,"470 Meyers Burgs
Mooreburgh, ND 64910",Christopher Hodge Jr.,4.4,"['where', 'approach', 'current', 'course', 'himself']",East Jonathan,Yes
