name,email,date_of_birth,address,phone_number,grade,student_id,major,minor,enrollment_year,graduation_year,gender,gpa,ethnicity,marital_status,courses,student_type,scholarship,sports_teams,internship_status,social_security_number,birth_place,nationality,parents,emergency_contact,language_proficiency,previous_schools,has_student_loan
George Mullins,lfrye@example.net,2005-10-07,"590 Mccall Fords
Kimberlychester, IN 84764",001-724-265-3391x852,D,14151d1c-c926-43e1-839c-aa9271d610a2,Computer Science,Psychology,1970,1977,Non-binary,6.9,Asian,Divorced,"['brand turn-key deliverables', 're-intermediate intuitive solutions', 'grow transparent solutions']",Full-time,Yes,Basketball,Currently Internship,872-76-9139,South Stephanieberg,Australian,"{'father_name': 'Jennifer Weaver', 'mother_name': 'Kelly Golden', 'contact_number': '723.396.1210x397'}","{'name': 'Dorothy Hill', 'relationship': 'Friend', 'phone_number': '(695)327-0980x67039'}",French,"['Castaneda-Barnes', 'Summers and Sons']",No
Michael Gonzalez,rachel17@example.org,2004-09-14,"19977 Mcgrath Views
Patrickbury, AL 11678",881.400.7296,A,e89215d8-1c08-4936-b6ab-7260c46e3689,Computer Science,Sociology,2001,2019,Non-binary,11.0,Asian,Single,"['deliver wireless deliverables', 'brand integrated solutions', 'productize B2B content']",Part-time,No,None,Completed Internship,122-69-9699,Port Bryanland,German,"{'father_name': 'Michael Gutierrez', 'mother_name': 'Tony Diaz', 'contact_number': '(852)762-9535x303'}","{'name': 'Amanda Moreno', 'relationship': 'Sibling', 'phone_number': '452.437.8752x2234'}",Other,"['Brown-Cook', 'Green, Glover and Miles']",Yes
Alan Moore,qdaugherty@example.net,2003-09-28,"56465 Williams Forks
Tarastad, VT 05175",9035303022,B,a493c20b-5b55-4fac-bf35-00366d41e0e1,Computer Science,Art History,1980,1975,Male,6.4,African American,Divorced,"['morph revolutionary solutions', 'streamline out-of-the-box functionalities', 'leverage proactive architectures']",Part-time,Yes,Football,Completed Internship,446-42-9587,Davidmouth,American,"{'father_name': 'Michael Ortiz', 'mother_name': 'Heather Lopez', 'contact_number': '+1-636-803-2553'}","{'name': 'Jason Jensen', 'relationship': 'Sibling', 'phone_number': '313-294-8230x010'}",Mandarin,"['Smith, Humphrey and Petersen', 'Ortiz, Reese and Solis']",No
Jonathan Wu,phillipdavis@example.net,2002-06-01,"75762 Charles Haven Suite 831
East Shelbyfurt, HI 37149",202.589.5459x21884,F,850dca01-6854-4625-99cd-c91cc64b681b,Physics,Sociology,1971,1990,Female,9.9,Hispanic,Single,"['syndicate efficient action-items', 'grow open-source relationships', 'aggregate next-generation action-items']",Part-time,No,None,None,167-92-1078,Lake Margaret,Australian,"{'father_name': 'Dr. Kelly Price', 'mother_name': 'Cynthia Zimmerman', 'contact_number': '787-391-0584'}","{'name': 'Emily Brooks', 'relationship': 'Other', 'phone_number': '+1-850-869-1024'}",Other,"['Vaughn Group', 'Scott-Bryant']",Yes
Gloria Velasquez,kmontoya@example.net,2002-03-17,"337 Ryan Flats Suite 858
East Terri, MA 26154",+1-259-222-1009,F,d94e91f6-486f-4df5-9910-932d593001e2,Mathematics,Philosophy,2017,1972,Non-binary,11.9,Other,Married,"['revolutionize proactive ROI', 'revolutionize interactive info-mediaries', 'facilitate visionary technologies']",Part-time,Yes,Football,None,616-73-1048,Spearshaven,German,"{'father_name': 'James White', 'mother_name': 'Kelly Dudley', 'contact_number': '8693219845'}","{'name': 'Michael Hubbard', 'relationship': 'Friend', 'phone_number': '(373)987-4002x64576'}",French,"['Randolph, Lynch and Lewis', 'Hamilton Inc']",No
Curtis Martinez,carlsondawn@example.net,2005-08-16,"3302 David Branch
Brianton, NM 81580",283.378.6916x694,A,b03f3558-e57c-49ed-b445-042ca1881487,History,Music,1974,1997,Male,2.5,Asian,Married,"['drive granular channels', 'reinvent B2B channels', 'embrace dot-com e-markets']",Full-time,Yes,Basketball,Currently Internship,837-22-1362,Joshuashire,American,"{'father_name': 'Anthony Stanley', 'mother_name': 'Denise Jones', 'contact_number': '+1-417-985-8441x369'}","{'name': 'Rita Owens', 'relationship': 'Other', 'phone_number': '+1-709-880-0827x17589'}",English,"['Cooper-Powell', 'Murray and Sons']",Yes
Kimberly Hernandez,kevinmurray@example.net,2004-10-03,"0390 Roberts Fords
West Robertville, MH 63126",4662234726,F,7c54c982-5c61-4d1a-99dd-19ab54d37173,Chemistry,Psychology,2019,1990,Female,7.0,Hispanic,Married,"['drive impactful eyeballs', 'scale global e-services', 'optimize vertical initiatives']",Part-time,No,None,None,195-43-7551,West Elaine,American,"{'father_name': 'Kristina Bell', 'mother_name': 'Jonathan Owens MD', 'contact_number': '001-609-472-3241x499'}","{'name': 'Kevin Baldwin', 'relationship': 'Other', 'phone_number': '4586678855'}",Spanish,"['Fernandez, Goodman and Garner', 'Schwartz-Mcclain']",No
Bradley Hancock,shanebradford@example.net,2004-02-04,"848 Taylor Manors Suite 098
West Michaelburgh, FM 68485",384-516-5033x84793,A,e2a23666-d512-46ca-ac82-03a98401d04f,History,Philosophy,2001,1984,Female,2.7,Mixed,Married,"['benchmark B2B niches', 'strategize scalable web services', 'monetize transparent e-services']",Full-time,Yes,Soccer,Currently Internship,669-94-3496,Holthaven,British,"{'father_name': 'David Jones', 'mother_name': 'Charles King', 'contact_number': '(721)869-4884x2600'}","{'name': 'Francis Walters', 'relationship': 'Friend', 'phone_number': '001-347-608-2894x12868'}",English,"['James-Nelson', 'Gomez LLC']",No
Cindy Weaver,dcombs@example.org,2002-03-16,"780 Ryan Turnpike
Johnnyshire, UT 50753",001-832-507-4678x92122,B,b802af1c-4b8b-44ba-8322-e51a0977add7,Computer Science,Economics,2022,1979,Male,11.7,Caucasian,Married,"['innovate integrated e-markets', 'morph leading-edge systems', 'target collaborative supply-chains']",Full-time,Yes,None,None,599-47-4555,Anitabury,Australian,"{'father_name': 'Samuel Nelson', 'mother_name': 'Christopher Howe', 'contact_number': '+1-607-396-2514x6898'}","{'name': 'Jennifer Dean', 'relationship': 'Parent', 'phone_number': '(258)232-8294'}",French,"['Anderson-Page', 'Hansen-Ayala']",Yes
Michelle Greene,dholmes@example.net,2004-08-01,"0012 Olivia Light
South Arthurfurt, AZ 75797",(890)514-6934,B,47719fce-23ac-448b-b439-41ec71a28a6b,Computer Science,Economics,1986,2019,Non-binary,8.9,Mixed,Divorced,"['facilitate transparent metrics', 'synergize real-time synergies', 'integrate front-end partnerships']",Part-time,No,Soccer,Completed Internship,246-50-5294,Duncanfort,British,"{'father_name': 'Renee Monroe', 'mother_name': 'Anna Rose', 'contact_number': '(478)889-9497x032'}","{'name': 'Olivia Byrd', 'relationship': 'Parent', 'phone_number': '(518)201-4324x297'}",English,"['Bradley-Knight', 'Jones Group']",No
Crystal Stevens,joyce60@example.org,2004-10-22,"69741 Hall Greens Suite 658
Careyland, ME 04109",(614)277-8152,A,252368a5-bc34-4230-a9e2-227739fb1283,Computer Science,Psychology,2002,1971,Non-binary,3.8,African American,Married,"['facilitate cross-media partnerships', 'optimize back-end schemas', 'mesh value-added models']",Part-time,Yes,Soccer,Completed Internship,819-79-7321,New Lindaburgh,Australian,"{'father_name': 'Frank Perez', 'mother_name': 'Jeffrey Perry', 'contact_number': '(502)871-4583x274'}","{'name': 'Christopher Wallace', 'relationship': 'Other', 'phone_number': '+1-681-429-2108x04779'}",Other,"['Craig, Green and Martinez', 'Wood, Taylor and Byrd']",Yes
Kathleen Dorsey,mariewallace@example.net,2006-03-18,"4934 Cory Stravenue
East Janicefurt, KY 63527",(206)844-9767,C,db4db1fc-3110-4457-bb92-52081e9f827f,History,Psychology,2003,2005,Non-binary,3.1,Other,Single,"['engineer world-class models', 'implement enterprise platforms', 'benchmark web-enabled metrics']",Full-time,Yes,Soccer,None,350-93-0251,Scottview,Canadian,"{'father_name': 'Robert Long', 'mother_name': 'Shawn Diaz', 'contact_number': '585.713.6241'}","{'name': 'Erin Blevins', 'relationship': 'Other', 'phone_number': '3015068806'}",English,"['Goodwin, Smith and Johnson', 'Williams Inc']",Yes
Joshua Eaton,hpowers@example.net,2005-04-15,"745 Mark Crescent Suite 818
West Jennifer, ME 97847",001-879-436-1901,B,d9ffedc2-c5ea-42e7-84bf-ffa1e113ded1,Biology,Sociology,1978,1996,Female,5.5,Asian,Divorced,"['synthesize customized communities', 'utilize plug-and-play vortals', 'synergize global info-mediaries']",Full-time,No,Soccer,Currently Internship,577-91-2845,North Stephenstad,American,"{'father_name': 'John Nguyen', 'mother_name': 'Lori Anderson', 'contact_number': '(294)993-9155'}","{'name': 'Scott Walker', 'relationship': 'Other', 'phone_number': '970.244.6429'}",English,"['Rodriguez PLC', 'Kaufman, Patel and Chavez']",Yes
Meghan Cunningham,patriciapeterson@example.org,2006-07-05,"6726 Rachel Rapid
South George, PA 84727",+1-506-902-3223x91844,D,e1388b68-d7fe-4419-8e58-d85fd457a35f,Biology,Sociology,1984,1973,Male,9.4,African American,Divorced,"['repurpose proactive partnerships', 're-intermediate integrated info-mediaries', 'evolve B2C models']",Full-time,Yes,Basketball,Currently Internship,425-96-0759,Margaretview,American,"{'father_name': 'Justin Dalton', 'mother_name': 'Daniel Kerr', 'contact_number': '001-709-708-8025x652'}","{'name': 'Gregory Hall', 'relationship': 'Friend', 'phone_number': '431.550.1647'}",French,"['Coleman-Duncan', 'Warren, Conner and Scott']",No
John Higgins,thompsonjoann@example.com,2005-03-07,"02780 Zachary Viaduct
West Ericburgh, AL 71235",323.474.7673x34897,B,5b5d344b-3fd5-4ff4-9643-fe4320357b15,Mathematics,Art History,2017,1995,Male,6.2,Mixed,Single,"['benchmark rich models', 'extend end-to-end bandwidth', 'e-enable vertical deliverables']",Full-time,Yes,Soccer,None,212-34-0580,West Robertbury,Australian,"{'father_name': 'Amy Harmon', 'mother_name': 'Brooke Nicholson', 'contact_number': '(209)994-2230x99531'}","{'name': 'Brent Myers', 'relationship': 'Friend', 'phone_number': '001-821-788-4144x7037'}",English,"['Thomas PLC', 'Matthews, Sanders and Miller']",Yes
Christopher Miller,michellelee@example.org,2004-01-15,"8314 Nicole Station
North Christopher, MN 04585",001-728-316-0536x06975,F,da4c0894-9dce-4d54-8bc6-0c5461cbe91b,Engineering,Psychology,2005,2003,Non-binary,6.2,Caucasian,Divorced,"['implement sticky e-business', 're-intermediate front-end networks', 'streamline wireless supply-chains']",Full-time,Yes,Football,None,261-87-8010,Lake Lauren,Canadian,"{'father_name': 'Cynthia Bryant', 'mother_name': 'Ryan Beard', 'contact_number': '+1-915-374-4203x221'}","{'name': 'Justin Rose', 'relationship': 'Other', 'phone_number': '336.579.0911x05155'}",Spanish,"['Diaz, Rice and Baker', 'Fitzgerald, Hunter and Fuentes']",Yes
Melissa Hanna,nicholaswallace@example.net,2002-09-22,"3752 Mackenzie Points Suite 036
West Jacobtown, WI 58932",(497)875-2979x662,F,b10bc84a-5408-4771-89af-a7654889fa0f,Physics,Art History,2005,1988,Male,11.1,Asian,Divorced,"['morph best-of-breed relationships', 'incubate best-of-breed content', 'deploy bleeding-edge e-markets']",Part-time,No,Football,None,138-65-3824,West Annemouth,British,"{'father_name': 'Jordan Murphy', 'mother_name': 'Deborah Smith', 'contact_number': '929-636-7554'}","{'name': 'Elizabeth Webb', 'relationship': 'Friend', 'phone_number': '539.452.6158'}",Other,"['Johns, Kline and Chapman', 'Lindsey-Blair']",Yes
Andrew White,wendy22@example.net,2003-12-20,"709 Melissa Mountains Suite 251
Melissastad, NV 74798",(254)736-4805x04386,F,70b6fc7a-6469-4883-9c8a-cda56f28cf1e,Physics,Psychology,2007,2014,Female,10.4,Caucasian,Married,"['envisioneer rich deliverables', 'matrix real-time vortals', 'engineer value-added info-mediaries']",Full-time,No,None,Currently Internship,775-53-7654,Andrewshire,American,"{'father_name': 'Brian Henry MD', 'mother_name': 'Ashley Harvey', 'contact_number': '733-566-1238x244'}","{'name': 'Tony Sanchez', 'relationship': 'Other', 'phone_number': '(345)486-2888'}",Mandarin,"['Hopkins LLC', 'Carey-Marquez']",No
Katie Adams,charleneenglish@example.com,2002-06-12,"68944 Patricia Ramp
West Ashleyside, MI 32434",5962393477,D,942101cc-a166-4ebf-966a-cbf99211f363,Engineering,Sociology,1979,2000,Male,6.7,African American,Married,"['transition transparent schemas', 'generate rich experiences', 'generate robust experiences']",Full-time,No,Football,Currently Internship,868-29-2655,Jacobsbury,Canadian,"{'father_name': 'Robert Walsh', 'mother_name': 'Sarah Walker', 'contact_number': '(841)647-0860x3211'}","{'name': 'Steven Ramirez', 'relationship': 'Friend', 'phone_number': '955.274.3887x266'}",Spanish,"['Johnson, Boyd and Moore', 'Rios and Sons']",Yes
Stephanie Olsen,danahuff@example.com,2005-07-24,"414 Jessica Mount
Garciaview, MP 32881",+1-781-739-6102x574,F,7f949ae2-19e3-4455-95ae-dd2b7cbc3f23,Chemistry,Music,2012,1979,Non-binary,5.7,Asian,Married,"['revolutionize efficient e-tailers', 'brand impactful e-services', 'integrate leading-edge functionalities']",Full-time,No,Basketball,Currently Internship,771-49-3635,Lydiastad,Australian,"{'father_name': 'Felicia York', 'mother_name': 'Walter Gordon', 'contact_number': '316.609.7349'}","{'name': 'Erica Wood', 'relationship': 'Sibling', 'phone_number': '6728936588'}",Other,"['Martinez Group', 'Murray-Stevens']",No
Amy Peterson,rharris@example.com,2006-06-15,"673 Todd Viaduct Suite 588
Mathisfurt, RI 12549",(251)722-6121x3334,B,496c5f8c-bea1-4108-9d06-e8cd6048364a,Engineering,Economics,1997,2019,Female,10.5,Caucasian,Married,"['whiteboard cross-media initiatives', 'seize magnetic partnerships', 'enable best-of-breed ROI']",Part-time,Yes,Soccer,Completed Internship,821-46-4958,West Mary,British,"{'father_name': 'Denise Jones', 'mother_name': 'Randy Lawrence', 'contact_number': '554-944-3591x25169'}","{'name': 'Jonathan Walsh', 'relationship': 'Parent', 'phone_number': '702-683-3557'}",English,"['White, Mueller and Morgan', 'Robertson-Bryant']",No
Allison Sims,hilljanice@example.com,2005-12-09,"614 Crawford Tunnel
Elizabethtown, FL 39096",001-374-576-0033x831,C,6982a72e-c9e4-4f0a-ac5a-713253ee56b2,History,Economics,1994,2008,Non-binary,8.6,Hispanic,Married,"['optimize cutting-edge infrastructures', 'whiteboard dynamic applications', 'architect viral schemas']",Part-time,No,Soccer,None,159-74-4959,Gutierrezfort,American,"{'father_name': 'Misty Williams', 'mother_name': 'Jason Foster', 'contact_number': '6835429872'}","{'name': 'Amy Farmer', 'relationship': 'Friend', 'phone_number': '468.325.8499x90037'}",Spanish,"['Osborne LLC', 'Hammond-Perry']",No
Ann Anderson,tdorsey@example.org,2005-08-02,"58824 Kyle Junctions
West Michelle, LA 13581",7769023449,F,6e4670c5-71df-493b-8e36-d33e1049ded3,Computer Science,Sociology,1988,1984,Male,8.7,Caucasian,Single,"['visualize visionary applications', 'extend B2C content', 'utilize proactive paradigms']",Full-time,Yes,Basketball,Currently Internship,058-31-4923,Mullinsland,Canadian,"{'father_name': 'Todd Hall', 'mother_name': 'Andrea Bradford', 'contact_number': '845.216.2399'}","{'name': 'Perry Hampton', 'relationship': 'Sibling', 'phone_number': '517-812-5537x78524'}",Other,"['Scott-Osborne', 'Hendricks, Brewer and Mcmahon']",Yes
Ryan Evans,maliktate@example.net,2002-10-16,"07161 Sean Causeway
North Michael, AR 06307",333-846-2944x4957,A,92733054-e01e-4c1c-b2b7-d3d6a6d07071,Engineering,Sociology,1971,1992,Non-binary,4.4,Caucasian,Married,"['orchestrate granular niches', 'transform magnetic info-mediaries', 'facilitate value-added platforms']",Part-time,Yes,Football,Currently Internship,870-82-9575,West Erinberg,Australian,"{'father_name': 'Dr. Jimmy Johnson', 'mother_name': 'Tracie Harper', 'contact_number': '924.952.5268x7447'}","{'name': 'Richard Cameron', 'relationship': 'Friend', 'phone_number': '218.514.6333x059'}",Mandarin,"['Gonzalez, Morales and Mcfarland', 'Miller Group']",Yes
